label,text
0,I want to search for information on BERT models.
1,Please send me the latest report
2,Download the user manual from the website
0,I want to search for information on BERT models.
1,send the documentation to email
2,download the open source project
2,I need to download some files from the server.
1,Can you please send me the updated spreadsheet?
0,I'm looking to search for articles on AI ethics.
1,Please send me the presentation slides for the meeting.
2,Download the software update from the link.
0,I want to search for recipes for chicken dishes.
1,send the contract to the client for review
2,download the research paper from the journal.
0,I'm planning to search for vacation destinations.
1,Send me the invoice for the recent purchase.
2,Download the music album from the website.
0,I need to search for a new job opportunity.
1,Please send me the project proposal document.
2,Download the PDF file from the shared folder.
0,I want to search for information on climate change.
1,send the meeting agenda to all attendees
2,download the source code for the project.
0,I'm trying to search for a local restaurant.
1,Please send me the product catalog via email.
2,Download the tutorial videos for Excel.
0,I want to search for the nearest gas station.
1,send the photos to my Dropbox folder
2,download the software installation package.
0,I need to search for a nearby pharmacy.
1,Send me the monthly financial report.
2,Download the ebook from the author's website.
0,I want to search for fashion trends.
1,send the contract for legal review
2,download the movie from the streaming service.
0,I'm looking to search for home improvement tips.
1,Please send me the instructions for assembly.
2,Download the game demo from the official site.
0,I want to search for news articles on politics.
1,send the tickets to my mobile phone
2,download the brochure for the event.
0,I need to search for information on COVID-19.
1,Send me the presentation for the client meeting.
2,Download the podcast episodes from the platform.
0,I want to search for tech reviews.
1,send the project files to the shared drive
2,download the software update for my phone.
0,I'm planning to search for workout routines.
1,Please send me the travel itinerary.
2,Download the tutorial videos for Excel.
0,I want to search for a good book to read.
1,send the quote to the customer via email
2,download the research dataset.
0,I'm trying to search for new music releases.
1,Send me the contract for electronic signature.
2,Download the software trial version.
0,I need to search for vegetarian recipes.
1,send the report to the department head
2,download the movie subtitles.
0,I want to search for hiking trails.
1,Please send me the meeting minutes.
2,Download the app from the app store.
0,I want to search for job openings in marketing.
1,send the photos to the cloud storage
2,download the presentation slides.
0,I'm looking to search for historical events.
1,Send me the product specifications.
2,Download the user guide for the camera.
0,I want to search for travel destinations in Europe.
1,send the purchase receipt via email
2,download the game mods.
0,I need to search for health and fitness tips.
1,Please send me the software license key.
2,Download the audio book from the website.
0,I want to search for information on space exploration.
1,send the agenda for the team meeting
2,download the source code repository.
0,I'm planning to search for movie reviews.
1,Send me the proposal for the new project.
2,Download the latest updates for Windows.
0,I want to search for vegan recipes.
1,send the contract to the legal department
2,download the music album from the artist's website.
0,I'm trying to search for DIY home improvement ideas.
1,Please send me the financial statement.
2,Download the software installer from the link.
0,I need to search for pet care tips.
1,send the meeting invitation to all participants
2,download the research paper from the journal website.
0,I want to search for fashion inspiration.
1,send the policy document to the client for review
2,download the video tutorial for video editing.
0,I'm looking to search for the best pizza places.
1,Send me the invoice for the recent purchase order.
2,Download the PDF document from the shared folder.
0,I want to search for information on renewable energy.
1,send the meeting agenda to all team members
2,download the source code for the project repository.
0,I'm planning to search for healthy recipes.
1,Please send me the project plan document.
2,Download the software package from the official website.
0,I need to search for a local coffee shop.
1,send the photos to the Dropbox folder
2,download the software update for my laptop.
0,I want to search for hiking trails in the mountains.
1,send the monthly report to the CEO
2,download the ebook from the author's website.
0,I'm trying to search for news articles on technology.
1,Send me the contract for legal approval.
2,Download the movie from the streaming platform.
0,I want to search for home decor ideas.
1,send the tickets to my mobile device
2,download the brochure for the upcoming event.
0,I need to search for information on climate change.
1,Send me the presentation for the client presentation.
2,Download the podcast episodes from the platform.
0,I want to search for tech tutorials.
1,send the project files to the shared team drive
2,download the software update for my smartphone.
0,I'm planning to search for workout routines for beginners.
1,Please send me the travel booking details.
2,Download the tutorial videos for Excel.
0,I want to search for a classic novel to read.
1,send the quote to the customer via email
2,download the research dataset from the university website.
0,I'm looking to search for new music releases in jazz.
1,Send me the contract for electronic signature.
2,Download the software trial version from the official website.
0,I need to search for vegetarian dinner recipes.
1,send the report to the department head via email
2,download the movie subtitles for the film.
0,I want to search for hiking trails in the national park.
1,Please send me the meeting agenda.
2,Download the app from the app store on my phone.
0,I want to search for job openings in the tech industry.
1,send the photos to the cloud storage service
2,download the presentation slides for the conference.
0,I'm looking to search for historical events in the 20th century.
1,Send me the product specifications for the new product.
2,Download the user guide for the camera.